Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
48,Entry short,2025-05-17 10:00,Short,3.6933,37.71,139.274343,-3.73,-2.67,0.85,0.61,-3.94,-2.83,35.56,35.56,4
49,Exit long,2025-05-22 19:30,Regime Flat,3.9456,32.61,135.549987,-7.02,-5.17,1.33,0.98,-8.4,-6.19,28.54,28.54,6
49,Entry long,2025-05-22 16:30,Long,4.1567,32.61,135.549987,-7.02,-5.17,1.33,0.98,-8.4,-6.19,28.54,28.54,6
50,Exit long,2025-05-26 18:00,Regime Flat,3.5916,35.44,128.50544,-1.35,-1.05,1.14,0.89,-1.49,-1.16,27.19,27.19,5
50,Entry long,2025-05-26 15:30,Long,3.626,35.44,128.50544,-1.35,-1.05,1.14,0.89,-1.49,-1.16,27.19,27.19,5
51,Exit short,2025-05-27 14:30,Regime Flat,3.4639,36.72,127.17972,-0.14,-0.11,2.18,1.72,-2.06,-1.62,27.05,27.05,23
51,Entry short,2025-05-27 03:00,Short,3.4635,36.72,127.17972,-0.14,-0.11,2.18,1.72,-2.06,-1.62,27.05,27.05,23
52,Exit long,2025-05-28 11:30,Regime Flat,3.6916,34.25,127.01955,-0.71,-0.56,0.49,0.39,-2.68,-2.11,26.34,26.34,15
52,Entry long,2025-05-28 04:00,Long,3.7086,34.25,127.01955,-0.71,-0.56,0.49,0.39,-2.68,-2.11,26.34,26.34,15
53,Exit short,2025-05-31 21:30,Regime Flat,3.1819,40.46,126.344442,-2.52,-2.00,2.85,2.26,-3.68,-2.91,23.82,23.82,26
53,Entry short,2025-05-31 08:30,Short,3.1227,40.46,126.344442,-2.52,-2.00,2.85,2.26,-3.68,-2.91,23.82,23.82,26
54,Exit short,2025-06-06 15:30,Regime Flat,3.0234,41.28,123.806976,-1.12,-0.91,4.84,3.91,-1.17,-0.94,22.7,22.70,24
54,Entry short,2025-06-06 03:30,Short,2.9992,41.28,123.806976,-1.12,-0.91,4.84,3.91,-1.17,-0.94,22.7,22.70,24
55,Exit long,2025-06-07 22:30,Regime Flat,3.2724,38.56,122.682496,3.38,2.75,5.01,4.08,-1.63,-1.33,26.07,26.07,48
55,Entry long,2025-06-06 22:30,Long,3.1816,38.56,122.682496,3.38,2.75,5.01,4.08,-1.63,-1.33,26.07,26.07,48
56,Exit long,2025-06-10 10:30,Regime Flat,3.3971,37.38,126.04536,0.81,0.64,3.94,3.13,-0.31,-0.25,26.88,26.88,14
56,Entry long,2025-06-10 03:30,Long,3.372,37.38,126.04536,0.81,0.64,3.94,3.13,-0.31,-0.25,26.88,26.88,14
57,Exit short,2025-06-12 22:00,Regime Flat,3.3094,38,126.8706,0.99,0.78,3.44,2.71,-0.63,-0.50,27.87,27.87,17
57,Entry short,2025-06-12 13:30,Short,3.3387,38,126.8706,0.99,0.78,3.44,2.71,-0.63,-0.50,27.87,27.87,17
58,Exit short,2025-06-13 23:30,Regime Flat,3.0456,42.76,127.869504,-2.49,-1.95,3.05,2.38,-3.28,-2.56,25.38,25.38,29
58,Entry short,2025-06-13 09:00,Short,2.9904,42.76,127.869504,-2.49,-1.95,3.05,2.38,-3.28,-2.56,25.38,25.38,29
59,Exit short,2025-06-15 06:30,Regime Flat,2.9325,42.89,125.380337,-0.52,-0.41,5.06,4.03,-0.6,-0.48,24.86,24.86,13
59,Entry short,2025-06-15 00:00,Short,2.9233,42.89,125.380337,-0.52,-0.41,5.06,4.03,-0.6,-0.48,24.86,24.86,13
60,Exit short,2025-06-18 09:00,Regime Flat,2.8421,42.37,124.834731,4.29,3.44,6.12,4.90,-0.24,-0.20,29.15,29.15,30
60,Entry short,2025-06-17 18:00,Short,2.9463,42.37,124.834731,4.29,3.44,6.12,4.90,-0.24,-0.20,29.15,29.15,30
61,Exit short,2025-06-21 13:30,Regime Flat,2.7396,47.79,129.133359,-1.92,-1.49,0,0.00,-2.24,-1.74,27.23,27.23,12
61,Entry short,2025-06-21 07:30,Short,2.7021,47.79,129.133359,-1.92,-1.49,0,0.00,-2.24,-1.74,27.23,27.23,12
62,Exit short,2025-06-22 13:00,Regime Flat,2.5755,49.05,127.230795,0.78,0.61,6.8,5.34,-1.07,-0.84,28.01,28.01,20
62,Entry short,2025-06-22 03:00,Short,2.5939,49.05,127.230795,0.78,0.61,6.8,5.34,-1.07,-0.84,28.01,28.01,20
63,Exit short,2025-06-23 07:00,Regime Flat,2.4507,54.38,127.999644,-5.4,-4.22,3.3,2.58,-5.34,-4.17,22.61,22.61,6
63,Entry short,2025-06-23 04:00,Short,2.3538,54.38,127.999644,-5.4,-4.22,3.3,2.58,-5.34,-4.17,22.61,22.61,6
64,Exit long,2025-06-24 19:30,Regime Flat,2.797,42.65,122.59316,-3.42,-2.79,1.44,1.17,-4.55,-3.71,19.19,19.19,11
64,Entry long,2025-06-24 14:00,Long,2.8744,42.65,122.59316,-3.42,-2.79,1.44,1.17,-4.55,-3.71,19.19,19.19,11
65,Exit short,2025-06-27 09:30,Regime Flat,2.6239,45.71,119.179683,-0.88,-0.74,1.65,1.39,-2.46,-2.06,18.31,18.31,17
65,Entry short,2025-06-27 01:00,Short,2.6073,45.71,119.179683,-0.88,-0.74,1.65,1.39,-2.46,-2.06,18.31,18.31,17
66,Exit long,2025-06-29 11:30,Regime Flat,2.7837,42.51,118.30533,-0.09,-0.07,2.47,2.08,-1.4,-1.18,18.22,18.22,19
66,Entry long,2025-06-29 02:00,Long,2.783,42.51,118.30533,-0.09,-0.07,2.47,2.08,-1.4,-1.18,18.22,18.22,19
67,Exit short,2025-07-01 00:30,Regime Flat,2.792,42.9,118.20237,-1.69,-1.43,0.88,0.75,-2.83,-2.40,16.53,16.53,5
67,Entry short,2025-06-30 22:00,Short,2.7553,42.9,118.20237,-1.69,-1.43,0.88,0.75,-2.83,-2.40,16.53,16.53,5
68,Exit short,2025-07-02 09:30,Regime Flat,2.6825,43.58,116.506772,-0.51,-0.44,1.23,1.05,-1.13,-0.97,16.01,16.01,14
68,Entry short,2025-07-02 02:30,Short,2.6734,43.58,116.506772,-0.51,-0.44,1.23,1.05,-1.13,-0.97,16.01,16.01,14
