time,open,high,low,close,Volume
1736080200,5.186,5.1944,5.1564,5.1673,6861084.5235000001
1736082000,5.1667,5.2023,5.16,5.1994,6864595.0791999996
1736083800,5.1993,5.2,5.1806,5.1867,4785222.8479000004
1736085600,5.187,5.2041,5.1428,5.1944,15883918.3440000005
1736087400,5.1944,5.2444,5.1851,5.239,14626622.1982000005
1736089200,5.239,5.25,5.1936,5.1983,9608053.4671999998
1736091000,5.1983,5.2355,5.1906,5.228,6139074.4186000004
1736092800,5.2281,5.2485,5.2182,5.2241,6229885.5536000002
1736094600,5.224,5.2284,5.204,5.2102,3417343.6619000002
1736096400,5.2103,5.235,5.2006,5.2335,3119286.6096000001
1736098200,5.2334,5.2363,5.1936,5.208,5185945.2781999996
1736100000,5.208,5.21,5.1659,5.1902,9925196.1674000006
1736101800,5.1904,5.2113,5.186,5.1966,4279983.5630999999
1736103600,5.1961,5.2318,5.1956,5.1988,4091828.4564999999
1736105400,5.1984,5.2275,5.1944,5.2275,3389045.6819000002
1736107200,5.2275,5.246,5.1986,5.2401,4743960.1741000004
1736109000,5.2401,5.2418,5.2122,5.2356,3750104.4243000001
1736110800,5.2355,5.24,5.2104,5.2134,2454608.5713999998
1736112600,5.2133,5.2383,5.1917,5.2371,4371677.9005000005
1736114400,5.2371,5.2372,5.215,5.2258,2838131.5260000001
1736116200,5.2258,5.2683,5.2244,5.2643,3597525.2455000002
1736118000,5.2643,5.298,5.2494,5.2816,12705192.5839000009
1736119800,5.2816,5.2883,5.2357,5.2455,5717080.3957000002
1736121600,5.2456,5.277,5.1851,5.2044,12792996.8245999999
1736123400,5.2044,5.2111,5.1753,5.1802,5677115.5992999999
1736125200,5.181,5.1912,5.1343,5.1569,9738873.3250999991
1736127000,5.1569,5.2132,5.1547,5.2006,12534160.5503000002
1736128800,5.2007,5.2883,5.1988,5.2707,18621389.3825999983
1736130600,5.2708,5.3259,5.2513,5.2535,20435945.8671999983
1736132400,5.2536,5.2556,5.2134,5.2284,8267112.6723999996
1736134200,5.2283,5.2692,5.2283,5.2334,6599958.1217999998
1736136000,5.2334,5.2492,5.2138,5.2149,5052647.2424999997
1736137800,5.215,5.2312,5.2055,5.2215,5953014.4572000001
1736139600,5.2215,5.2234,5.17,5.2009,7043998.1655999999
1736141400,5.2009,5.2256,5.193,5.1953,5300918.0882999999
1736143200,5.1959,5.225,5.1832,5.2135,6473127.7522
1736145000,5.2135,5.2263,5.175,5.1823,5914843.9918
1736146800,5.1823,5.1955,5.1544,5.1826,8971431.1208999995
1736148600,5.1827,5.1987,5.1657,5.1766,3270287.2470999998
1736150400,5.1765,5.1838,5.1531,5.1568,5300899.8414000003
1736152200,5.1568,5.1803,5.1451,5.1639,5243109.5504999999
1736154000,5.1639,5.17,5.1401,5.1424,4190095.2557999999
1736155800,5.1424,5.1588,5.1246,5.1512,7850985.1682000002
1736157600,5.1511,5.1623,5.1303,5.1455,5303379.5780999996
1736159400,5.1454,5.1733,5.1366,5.1658,4409589.7315999996
1736161200,5.1655,5.2083,5.16,5.1962,12691294.4894999992
1736163000,5.1961,5.2048,5.17,5.1925,7135635.0957000004
1736164800,5.1929,5.1966,5.1722,5.1868,3102764.781
1736166600,5.1869,5.2138,5.1802,5.1967,4922663.3033999996
1736168400,5.1983,5.2192,5.1677,5.1984,6244963.5429999996
1736170200,5.1984,5.2216,5.1965,5.2175,3891241.9059000001
1736172000,5.2179,5.2359,5.163,5.1893,7428466.0926000001
1736173800,5.19,5.3037,5.1814,5.2744,25914337.2424000017
